Date : 2021-02-12 01:56:08
Directory : c:\xampp\htdocs\exMed
Total : 5308 files,  463290 codes, 55597 comments, 61492 blanks, all 580379 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| HTML       |        322 |    159,472 |      4,597 |     19,246 |    183,315 |
| JavaScript |      3,835 |    120,336 |     15,549 |     14,073 |    149,958 |
| CSS        |        382 |     91,094 |      3,117 |     16,198 |    110,409 |
| XML        |        321 |     44,942 |         15 |        349 |     45,306 |
| PHP        |        216 |     32,438 |     30,170 |      8,764 |     71,372 |
| SCSS       |        184 |     10,272 |      2,140 |      2,604 |     15,016 |
| JSON       |         14 |      3,442 |          0 |         12 |      3,454 |
| Pug        |         24 |        868 |          3 |        105 |        976 |
| Less       |          2 |        239 |          6 |         25 |        270 |
| Markdown   |          6 |        169 |          0 |        113 |        282 |
| YAML       |          1 |         10 |          0 |          1 |         11 |
| Ruby       |          1 |          8 |          0 |          2 |         10 |
+------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                               | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                  |      5,308 |    463,290 |     55,597 |     61,492 |    580,379 |
| application                                                                                                                        |         60 |      3,464 |      1,013 |        422 |      4,899 |
| application\cache                                                                                                                  |          1 |          9 |          0 |          3 |         12 |
| application\config                                                                                                                 |         15 |        670 |        893 |         88 |      1,651 |
| application\controllers                                                                                                            |          7 |        455 |         43 |         87 |        585 |
| application\controllers\CRUD                                                                                                       |          3 |        280 |         37 |         53 |        370 |
| application\core                                                                                                                   |          1 |          9 |          0 |          3 |         12 |
| application\helpers                                                                                                                |          1 |          9 |          0 |          3 |         12 |
| application\hooks                                                                                                                  |          1 |          9 |          0 |          3 |         12 |
| application\language                                                                                                               |          2 |         18 |          0 |          6 |         24 |
| application\language\english                                                                                                       |          1 |          9 |          0 |          3 |         12 |
| application\libraries                                                                                                              |          1 |          9 |          0 |          3 |         12 |
| application\logs                                                                                                                   |          1 |          9 |          0 |          3 |         12 |
| application\models                                                                                                                 |          3 |        222 |         19 |         34 |        275 |
| application\third_party                                                                                                            |          1 |          9 |          0 |          3 |         12 |
| application\views                                                                                                                  |         25 |      2,027 |         58 |        183 |      2,268 |
| application\views\CRUD                                                                                                             |          2 |        639 |          2 |         22 |        663 |
| application\views\admin                                                                                                            |          1 |         87 |          0 |          9 |         96 |
| application\views\errors                                                                                                           |         13 |        295 |          0 |         66 |        361 |
| application\views\errors\cli                                                                                                       |          6 |         62 |          0 |         18 |         80 |
| application\views\errors\html                                                                                                      |          6 |        224 |          0 |         45 |        269 |
| application\views\layouts                                                                                                          |          6 |        508 |         54 |         58 |        620 |
| application\views\layouts\forms                                                                                                    |          2 |        213 |         33 |         18 |        264 |
| assets                                                                                                                             |      4,856 |    310,480 |     23,021 |     33,970 |    367,471 |
| assets\CoolAdmin-master                                                                                                            |        206 |     89,469 |      7,139 |     10,618 |    107,226 |
| assets\CoolAdmin-master\css                                                                                                        |          3 |     11,855 |        107 |      2,930 |     14,892 |
| assets\CoolAdmin-master\fonts                                                                                                      |         18 |      5,963 |          0 |         18 |      5,981 |
| assets\CoolAdmin-master\fonts\poppins                                                                                              |         18 |      5,963 |          0 |         18 |      5,981 |
| assets\CoolAdmin-master\js                                                                                                         |          3 |      7,138 |        562 |      1,213 |      8,913 |
| assets\CoolAdmin-master\vendor                                                                                                     |        156 |     46,651 |      5,903 |      5,302 |     57,856 |
| assets\CoolAdmin-master\vendor\animsition                                                                                          |          2 |          2 |         13 |          0 |         15 |
| assets\CoolAdmin-master\vendor\bootstrap-4.1                                                                                       |          3 |          3 |         16 |          1 |         20 |
| assets\CoolAdmin-master\vendor\bootstrap-progressbar                                                                               |          2 |          2 |          2 |          0 |          4 |
| assets\CoolAdmin-master\vendor\chartjs                                                                                             |          1 |          1 |          9 |          0 |         10 |
| assets\CoolAdmin-master\vendor\circle-progress                                                                                     |          2 |        259 |        242 |         62 |        563 |
| assets\CoolAdmin-master\vendor\countdown                                                                                           |          5 |         53 |         21 |         16 |         90 |
| assets\CoolAdmin-master\vendor\counter-up                                                                                          |          3 |          3 |         13 |          1 |         17 |
| assets\CoolAdmin-master\vendor\css-hamburgers                                                                                      |          2 |        529 |        106 |         73 |        708 |
| assets\CoolAdmin-master\vendor\font-awesome-4.7                                                                                    |          3 |      4,999 |         13 |          3 |      5,015 |
| assets\CoolAdmin-master\vendor\font-awesome-4.7\css                                                                                |          2 |      2,328 |         13 |          2 |      2,343 |
| assets\CoolAdmin-master\vendor\font-awesome-4.7\fonts                                                                              |          1 |      2,671 |          0 |          1 |      2,672 |
| assets\CoolAdmin-master\vendor\font-awesome-5                                                                                      |          4 |      2,881 |         16 |          3 |      2,900 |
| assets\CoolAdmin-master\vendor\font-awesome-5\css                                                                                  |          1 |          1 |          4 |          0 |          5 |
| assets\CoolAdmin-master\vendor\font-awesome-5\webfonts                                                                             |          3 |      2,880 |         12 |          3 |      2,895 |
| assets\CoolAdmin-master\vendor\fullcalendar-3.10.0                                                                                 |         83 |     14,092 |      2,389 |        580 |     17,061 |
| assets\CoolAdmin-master\vendor\fullcalendar-3.10.0\lib                                                                             |          1 |          1 |          0 |          0 |          1 |
| assets\CoolAdmin-master\vendor\fullcalendar-3.10.0\locale                                                                          |         73 |         73 |          0 |          0 |         73 |
| assets\CoolAdmin-master\vendor\lightbox2                                                                                           |          7 |      8,096 |      1,988 |      2,199 |     12,283 |
| assets\CoolAdmin-master\vendor\lightbox2\dist                                                                                      |          5 |      7,548 |      1,906 |      2,101 |     11,555 |
| assets\CoolAdmin-master\vendor\lightbox2\dist\css                                                                                  |          1 |        176 |          4 |         28 |        208 |
| assets\CoolAdmin-master\vendor\lightbox2\dist\js                                                                                   |          4 |      7,372 |      1,902 |      2,073 |     11,347 |
| assets\CoolAdmin-master\vendor\lightbox2\src                                                                                       |          2 |        548 |         82 |         98 |        728 |
| assets\CoolAdmin-master\vendor\lightbox2\src\css                                                                                   |          1 |        176 |          4 |         28 |        208 |
| assets\CoolAdmin-master\vendor\lightbox2\src\js                                                                                    |          1 |        372 |         78 |         70 |        520 |
| assets\CoolAdmin-master\vendor\mdi-font                                                                                            |          3 |      5,948 |          6 |          1 |      5,955 |
| assets\CoolAdmin-master\vendor\mdi-font\css                                                                                        |          2 |      5,161 |          6 |          1 |      5,168 |
| assets\CoolAdmin-master\vendor\mdi-font\fonts                                                                                      |          1 |        787 |          0 |          0 |        787 |
| assets\CoolAdmin-master\vendor\perfect-scrollbar                                                                                   |          3 |      1,179 |         61 |        196 |      1,436 |
| assets\CoolAdmin-master\vendor\progressbar                                                                                         |          2 |      1,386 |        735 |        365 |      2,486 |
| assets\CoolAdmin-master\vendor\select2                                                                                             |          2 |          4 |          0 |          1 |          5 |
| assets\CoolAdmin-master\vendor\slick                                                                                               |         10 |      2,926 |         70 |        948 |      3,944 |
| assets\CoolAdmin-master\vendor\slick\fonts                                                                                         |          1 |         13 |          0 |          2 |         15 |
| assets\CoolAdmin-master\vendor\smk-accordion                                                                                       |          3 |        220 |        164 |         80 |        464 |
| assets\CoolAdmin-master\vendor\sweetalert                                                                                          |          1 |          1 |          0 |          0 |          1 |
| assets\CoolAdmin-master\vendor\vector-map                                                                                          |         11 |      1,108 |         22 |        234 |      1,364 |
| assets\CoolAdmin-master\vendor\wow                                                                                                 |          2 |      2,948 |         12 |        537 |      3,497 |
| assets\quixlab                                                                                                                     |      4,571 |    205,692 |     15,792 |     21,632 |    243,116 |
| assets\quixlab\css                                                                                                                 |          1 |     12,945 |        100 |      1,657 |     14,702 |
| assets\quixlab\icons                                                                                                               |        278 |     55,063 |        287 |      6,540 |     61,890 |
| assets\quixlab\icons\cryptocoins                                                                                                   |          2 |      1,005 |          3 |        286 |      1,294 |
| assets\quixlab\icons\cryptocoins\css                                                                                               |          2 |      1,005 |          3 |        286 |      1,294 |
| assets\quixlab\icons\flag-icon-css                                                                                                 |        250 |     17,452 |          0 |        249 |     17,701 |
| assets\quixlab\icons\flag-icon-css\flags                                                                                           |        249 |     17,451 |          0 |        249 |     17,700 |
| assets\quixlab\icons\font-awesome                                                                                                  |          2 |      2,672 |          3 |          2 |      2,677 |
| assets\quixlab\icons\font-awesome\css                                                                                              |          1 |          1 |          3 |          1 |          5 |
| assets\quixlab\icons\font-awesome\fonts                                                                                            |          1 |      2,671 |          0 |          1 |      2,672 |
| assets\quixlab\icons\ionicons                                                                                                      |          2 |      4,447 |         14 |        736 |      5,197 |
| assets\quixlab\icons\ionicons\css                                                                                                  |          1 |      2,220 |         11 |        735 |      2,966 |
| assets\quixlab\icons\ionicons\fonts                                                                                                |          1 |      2,227 |          3 |          1 |      2,231 |
| assets\quixlab\icons\linea-icons                                                                                                   |          8 |      3,187 |          0 |         14 |      3,201 |
| assets\quixlab\icons\linea-icons\fonts                                                                                             |          7 |        779 |          0 |         14 |        793 |
| assets\quixlab\icons\material-design-iconic-font                                                                                   |          3 |     22,637 |        228 |      5,011 |     27,876 |
| assets\quixlab\icons\material-design-iconic-font\css                                                                               |          1 |      7,585 |        114 |      2,505 |     10,204 |
| assets\quixlab\icons\material-design-iconic-font\fonts                                                                             |          1 |      7,467 |          0 |          1 |      7,468 |
| assets\quixlab\icons\pe-icon-set-weather                                                                                           |          5 |      1,006 |         13 |        237 |      1,256 |
| assets\quixlab\icons\pe-icon-set-weather\css                                                                                       |          4 |        788 |         13 |        237 |      1,038 |
| assets\quixlab\icons\pe-icon-set-weather\fonts                                                                                     |          1 |        218 |          0 |          0 |        218 |
| assets\quixlab\icons\simple-line-icons                                                                                             |          2 |        960 |          5 |          1 |        966 |
| assets\quixlab\icons\simple-line-icons\css                                                                                         |          1 |        749 |          5 |          1 |        755 |
| assets\quixlab\icons\simple-line-icons\fonts                                                                                       |          1 |        211 |          0 |          0 |        211 |
| assets\quixlab\icons\themify-icons                                                                                                 |          2 |      1,439 |          1 |          4 |      1,444 |
| assets\quixlab\icons\themify-icons\fonts                                                                                           |          1 |        362 |          0 |          0 |        362 |
| assets\quixlab\icons\weather-icons                                                                                                 |          2 |        258 |         20 |          0 |        278 |
| assets\quixlab\icons\weather-icons\css                                                                                             |          1 |          1 |         20 |          0 |         21 |
| assets\quixlab\icons\weather-icons\fonts                                                                                           |          1 |        257 |          0 |          0 |        257 |
| assets\quixlab\js                                                                                                                  |         85 |     13,251 |        489 |      1,736 |     15,476 |
| assets\quixlab\js\dashboard                                                                                                        |          1 |        346 |         10 |        108 |        464 |
| assets\quixlab\js\plugins-init                                                                                                     |         80 |     12,527 |        473 |      1,546 |     14,546 |
| assets\quixlab\plugins                                                                                                             |      4,143 |     95,634 |     11,085 |     10,009 |    116,728 |
| assets\quixlab\plugins\amcharts                                                                                                    |         38 |      2,205 |          6 |         67 |      2,278 |
| assets\quixlab\plugins\amcharts\images                                                                                             |         24 |        300 |          0 |         57 |        357 |
| assets\quixlab\plugins\amcharts\plugins                                                                                            |          8 |         55 |          4 |          5 |         64 |
| assets\quixlab\plugins\amcharts\plugins\export                                                                                     |          6 |         53 |          4 |          4 |         61 |
| assets\quixlab\plugins\amcharts\plugins\export\libs                                                                                |          6 |         53 |          4 |          4 |         61 |
| assets\quixlab\plugins\amcharts\plugins\export\libs\FileSaver.js                                                                   |          1 |          1 |          1 |          1 |          3 |
| assets\quixlab\plugins\amcharts\plugins\export\libs\fabric.js                                                                      |          1 |          1 |          0 |          0 |          1 |
| assets\quixlab\plugins\amcharts\plugins\export\libs\jszip                                                                          |          1 |          1 |          0 |          1 |          2 |
| assets\quixlab\plugins\amcharts\plugins\export\libs\pdfmake                                                                        |          2 |         36 |          2 |          1 |         39 |
| assets\quixlab\plugins\amcharts\plugins\export\libs\xlsx                                                                           |          1 |         14 |          1 |          1 |         16 |
| assets\quixlab\plugins\animate                                                                                                     |          1 |          2 |          7 |          2 |         11 |
| assets\quixlab\plugins\block-ui                                                                                                    |          5 |        596 |        103 |        101 |        800 |
| assets\quixlab\plugins\bootstrap                                                                                                   |         84 |      4,776 |      1,055 |      1,253 |      7,084 |
| assets\quixlab\plugins\bootstrap-colorpicker                                                                                       |          2 |          2 |         17 |          1 |         20 |
| assets\quixlab\plugins\bootstrap-colorpicker\css                                                                                   |          1 |          1 |          8 |          1 |         10 |
| assets\quixlab\plugins\bootstrap-colorpicker\js                                                                                    |          1 |          1 |          9 |          0 |         10 |
| assets\quixlab\plugins\bootstrap-datepicker                                                                                        |          4 |          6 |         20 |          4 |         30 |
| assets\quixlab\plugins\bootstrap-datepicker\dist                                                                                   |          2 |          3 |         10 |          2 |         15 |
| assets\quixlab\plugins\bootstrap-datepicker\dist\css                                                                               |          1 |          1 |          5 |          1 |          7 |
| assets\quixlab\plugins\bootstrap-datepicker\dist\js                                                                                |          1 |          2 |          5 |          1 |          8 |
| assets\quixlab\plugins\bootstrap-daterangepicker                                                                                   |          2 |          2 |          0 |          0 |          2 |
| assets\quixlab\plugins\bootstrap-fileinput                                                                                         |         65 |      4,265 |        686 |        165 |      5,116 |
| assets\quixlab\plugins\bootstrap-fileinput\css                                                                                     |          2 |          2 |         22 |          1 |         25 |
| assets\quixlab\plugins\bootstrap-fileinput\js                                                                                      |         45 |      3,608 |        442 |         79 |      4,129 |
| assets\quixlab\plugins\bootstrap-fileinput\js\locales                                                                              |         41 |      3,604 |        432 |         78 |      4,114 |
| assets\quixlab\plugins\bootstrap-fileinput\js\plugins                                                                              |          3 |          3 |          0 |          1 |          4 |
| assets\quixlab\plugins\bootstrap-fileinput\themes                                                                                  |         18 |        655 |        222 |         85 |        962 |
| assets\quixlab\plugins\bootstrap-fileinput\themes\explorer                                                                         |          4 |        166 |         47 |         28 |        241 |
| assets\quixlab\plugins\bootstrap-fileinput\themes\explorer-fa                                                                      |          4 |        193 |         53 |         25 |        271 |
| assets\quixlab\plugins\bootstrap-fileinput\themes\explorer-fas                                                                     |          4 |        193 |         53 |         25 |        271 |
| assets\quixlab\plugins\bootstrap-fileinput\themes\fa                                                                               |          2 |         35 |         23 |          2 |         60 |
| assets\quixlab\plugins\bootstrap-fileinput\themes\fas                                                                              |          2 |         35 |         23 |          3 |         61 |
| assets\quixlab\plugins\bootstrap-fileinput\themes\gly                                                                              |          2 |         33 |         23 |          2 |         58 |
| assets\quixlab\plugins\bootstrap-material-datetimepicker                                                                           |          2 |          2 |          0 |          0 |          2 |
| assets\quixlab\plugins\bootstrap-material-datetimepicker\css                                                                       |          1 |          1 |          0 |          0 |          1 |
| assets\quixlab\plugins\bootstrap-material-datetimepicker\js                                                                        |          1 |          1 |          0 |          0 |          1 |
| assets\quixlab\plugins\bootstrap-maxlength                                                                                         |          1 |          1 |          8 |          1 |         10 |
| assets\quixlab\plugins\bootstrap-menu                                                                                              |          1 |          3 |         13 |          0 |         16 |
| assets\quixlab\plugins\bootstrap-multiselect                                                                                       |          2 |        897 |        295 |        226 |      1,418 |
| assets\quixlab\plugins\bootstrap-multiselect\css                                                                                   |          1 |          1 |          0 |          0 |          1 |
| assets\quixlab\plugins\bootstrap-multiselect\js                                                                                    |          1 |        896 |        295 |        226 |      1,417 |
| assets\quixlab\plugins\bootstrap-select                                                                                            |          2 |          2 |         12 |          1 |         15 |
| assets\quixlab\plugins\bootstrap-select\dist                                                                                       |          2 |          2 |         12 |          1 |         15 |
| assets\quixlab\plugins\bootstrap-select\dist\css                                                                                   |          1 |          1 |          5 |          0 |          6 |
| assets\quixlab\plugins\bootstrap-select\dist\js                                                                                    |          1 |          1 |          7 |          1 |          9 |
| assets\quixlab\plugins\bootstrap-tagsinput                                                                                         |          2 |         56 |          5 |          2 |         63 |
| assets\quixlab\plugins\bootstrap-tagsinput\css                                                                                     |          1 |         55 |          0 |          1 |         56 |
| assets\quixlab\plugins\bootstrap-tagsinput\js                                                                                      |          1 |          1 |          5 |          1 |          7 |
| assets\quixlab\plugins\bootstrap-timepicker                                                                                        |          2 |          2 |         13 |          0 |         15 |
| assets\quixlab\plugins\bootstrap-timepicker\css                                                                                    |          1 |          1 |          9 |          0 |         10 |
| assets\quixlab\plugins\bootstrap-timepicker\js                                                                                     |          1 |          1 |          4 |          0 |          5 |
| assets\quixlab\plugins\bootstrap-touchspin                                                                                         |          2 |          2 |          8 |          1 |         11 |
| assets\quixlab\plugins\bootstrap-touchspin\css                                                                                     |          1 |          1 |          0 |          0 |          1 |
| assets\quixlab\plugins\bootstrap-touchspin\js                                                                                      |          1 |          1 |          8 |          1 |         10 |
| assets\quixlab\plugins\bootstrap-v4-rtl                                                                                            |         85 |      4,941 |      1,048 |      1,286 |      7,275 |
| assets\quixlab\plugins\bootstrap-v4-rtl\scss                                                                                       |         85 |      4,941 |      1,048 |      1,286 |      7,275 |
| assets\quixlab\plugins\bootstrap-v4-rtl\scss\mixins                                                                                |         30 |        723 |        156 |        144 |      1,023 |
| assets\quixlab\plugins\bootstrap-v4-rtl\scss\utilities                                                                             |         15 |        303 |         48 |         89 |        440 |
| assets\quixlab\plugins\bootstrap3-wysihtml5-npm                                                                                    |          2 |          2 |          2 |          1 |          5 |
| assets\quixlab\plugins\bootstrap3-wysihtml5-npm\dist                                                                               |          2 |          2 |          2 |          1 |          5 |
| assets\quixlab\plugins\bootstrap3-wysihtml5-npm\dist\css                                                                           |          1 |          1 |          1 |          1 |          3 |
| assets\quixlab\plugins\bootstrap3-wysihtml5-npm\dist\js                                                                            |          1 |          1 |          1 |          0 |          2 |
| assets\quixlab\plugins\bootstrap4-datetimepicker                                                                                   |          2 |          3 |          3 |          1 |          7 |
| assets\quixlab\plugins\bootstrap4-notify                                                                                           |          1 |          1 |          0 |          0 |          1 |
| assets\quixlab\plugins\bootstrap\js                                                                                                |          1 |          1 |          6 |          0 |          7 |
| assets\quixlab\plugins\bootstrap\scss                                                                                              |         83 |      4,775 |      1,049 |      1,253 |      7,077 |
| assets\quixlab\plugins\bootstrap\scss\mixins                                                                                       |         30 |        723 |        156 |        144 |      1,023 |
| assets\quixlab\plugins\bootstrap\scss\utilities                                                                                    |         15 |        303 |         48 |         89 |        440 |
| assets\quixlab\plugins\c3                                                                                                          |          2 |          2 |          1 |          0 |          3 |
| assets\quixlab\plugins\c3\css                                                                                                      |          1 |          1 |          0 |          0 |          1 |
| assets\quixlab\plugins\c3\js                                                                                                       |          1 |          1 |          1 |          0 |          2 |
| assets\quixlab\plugins\chart.js                                                                                                    |          1 |          1 |          9 |          0 |         10 |
| assets\quixlab\plugins\chartist                                                                                                    |          2 |          3 |          7 |          1 |         11 |
| assets\quixlab\plugins\chartist-plugin-tooltips                                                                                    |          2 |         32 |          7 |          4 |         43 |
| assets\quixlab\plugins\chartist-plugin-tooltips\css                                                                                |          1 |         31 |          1 |          3 |         35 |
| assets\quixlab\plugins\chartist-plugin-tooltips\js                                                                                 |          1 |          1 |          6 |          1 |          8 |
| assets\quixlab\plugins\chartist\css                                                                                                |          1 |          1 |          0 |          0 |          1 |
| assets\quixlab\plugins\chartist\js                                                                                                 |          1 |          2 |          7 |          1 |         10 |
| assets\quixlab\plugins\chartjs-plugin-datalabels                                                                                   |          1 |          1 |         10 |          0 |         11 |
| assets\quixlab\plugins\chartjs-plugin-streaming                                                                                    |          1 |          1 |         10 |          0 |         11 |
| assets\quixlab\plugins\circle-progress                                                                                             |          1 |          1 |          9 |          0 |         10 |
| assets\quixlab\plugins\ckeditor                                                                                                    |      2,341 |     11,085 |      2,883 |        869 |     14,837 |
| assets\quixlab\plugins\ckeditor\lang                                                                                               |         71 |        136 |        326 |         26 |        488 |
| assets\quixlab\plugins\ckeditor\plugins                                                                                            |      2,257 |      9,469 |      2,447 |        778 |     12,694 |
| assets\quixlab\plugins\ckeditor\plugins\a11yhelp                                                                                   |         65 |        481 |        260 |          0 |        741 |
| assets\quixlab\plugins\ckeditor\plugins\a11yhelp\dialogs                                                                           |         65 |        481 |        260 |          0 |        741 |
| assets\quixlab\plugins\ckeditor\plugins\a11yhelp\dialogs\lang                                                                      |         64 |        475 |        256 |          0 |        731 |
| assets\quixlab\plugins\ckeditor\plugins\about                                                                                      |          1 |          4 |          4 |          0 |          8 |
| assets\quixlab\plugins\ckeditor\plugins\about\dialogs                                                                              |          1 |          4 |          4 |          0 |          8 |
| assets\quixlab\plugins\ckeditor\plugins\adobeair                                                                                   |          1 |          5 |          4 |          0 |          9 |
| assets\quixlab\plugins\ckeditor\plugins\ajax                                                                                       |          1 |          3 |          4 |          0 |          7 |
| assets\quixlab\plugins\ckeditor\plugins\autocomplete                                                                               |          2 |         50 |          8 |          2 |         60 |
| assets\quixlab\plugins\ckeditor\plugins\autocomplete\skins                                                                         |          1 |         33 |          4 |          2 |         39 |
| assets\quixlab\plugins\ckeditor\plugins\autoembed                                                                                  |         43 |         47 |          4 |          0 |         51 |
| assets\quixlab\plugins\ckeditor\plugins\autoembed\lang                                                                             |         42 |         42 |          0 |          0 |         42 |
| assets\quixlab\plugins\ckeditor\plugins\autogrow                                                                                   |          1 |          4 |          4 |          0 |          8 |
| assets\quixlab\plugins\ckeditor\plugins\autolink                                                                                   |          1 |          4 |          4 |          0 |          8 |
| assets\quixlab\plugins\ckeditor\plugins\balloonpanel                                                                               |          2 |        192 |         19 |         35 |        246 |
| assets\quixlab\plugins\ckeditor\plugins\balloonpanel\skins                                                                         |          1 |        174 |         15 |         35 |        224 |
| assets\quixlab\plugins\ckeditor\plugins\balloonpanel\skins\moono-lisa                                                              |          1 |        174 |         15 |         35 |        224 |
| assets\quixlab\plugins\ckeditor\plugins\balloontoolbar                                                                             |          3 |        119 |         20 |         21 |        160 |
| assets\quixlab\plugins\ckeditor\plugins\balloontoolbar\skins                                                                       |          2 |        104 |         16 |         21 |        141 |
| assets\quixlab\plugins\ckeditor\plugins\balloontoolbar\skins\moono-lisa                                                            |          1 |         32 |          6 |          7 |         45 |
| assets\quixlab\plugins\ckeditor\plugins\bbcode                                                                                     |          1 |         19 |          4 |          0 |         23 |
| assets\quixlab\plugins\ckeditor\plugins\bidi                                                                                       |         71 |         79 |          4 |          0 |         83 |
| assets\quixlab\plugins\ckeditor\plugins\bidi\lang                                                                                  |         70 |         70 |          0 |          0 |         70 |
| assets\quixlab\plugins\ckeditor\plugins\clipboard                                                                                  |          1 |          7 |          4 |          0 |         11 |
| assets\quixlab\plugins\ckeditor\plugins\clipboard\dialogs                                                                          |          1 |          7 |          4 |          0 |         11 |
| assets\quixlab\plugins\ckeditor\plugins\cloudservices                                                                              |          1 |          3 |          4 |          0 |          7 |
| assets\quixlab\plugins\ckeditor\plugins\codesnippet                                                                                |        101 |      4,073 |        573 |        578 |      5,224 |
| assets\quixlab\plugins\ckeditor\plugins\codesnippet\dialogs                                                                        |          1 |          2 |          4 |          0 |          6 |
| assets\quixlab\plugins\ckeditor\plugins\codesnippet\lang                                                                           |         54 |         54 |        216 |          0 |        270 |
| assets\quixlab\plugins\ckeditor\plugins\codesnippet\lib                                                                            |         45 |      4,009 |        349 |        578 |      4,936 |
| assets\quixlab\plugins\ckeditor\plugins\codesnippet\lib\highlight                                                                  |         45 |      4,009 |        349 |        578 |      4,936 |
| assets\quixlab\plugins\ckeditor\plugins\codesnippet\lib\highlight\styles                                                           |         44 |      4,008 |        349 |        577 |      4,934 |
| assets\quixlab\plugins\ckeditor\plugins\codesnippetgeshi                                                                           |          1 |          6 |          4 |          0 |         10 |
| assets\quixlab\plugins\ckeditor\plugins\colorbutton                                                                                |         71 |        221 |          4 |          0 |        225 |
